"","D12","E12","b.m","tbl","AAA","BAA","lty","ntis","infl","ltr","corpr","svar","D12.diff","E12.diff","b.m.diff","tbl.diff","AAA.diff","BAA.diff","lty.diff","ntis.diff","infl.diff","ltr.diff","corpr.diff","svar.diff","tbl.lagdiff","AAA.lagdiff","BAA.lagdiff","lty.lagdiff","ltr.lagdiff","corpr.lagdiff","EqPremResponse"
"13",0.975,1.29,0.4033754529,0.0189,0.1455501812,0.1576501812,0.1326501812,0.1310010449,-0.0998501812,0.0174403766,0.0253035067,0.0210751627,0.002,-0.16,0.0842562638,-0.0106,-0.00578224529999996,-0.00478224529999996,-0.00598224529999997,-0.0144951317,0.00528224529999997,0.0019547569,-0.0018203395,0.0164132524,0.002,0.0243006683,0.0251006683,0.0226006683,0.0605789542,0.0032297929,"0"
"14",0.978,1.13,0.4455832113,0.0177,0.140596366,0.152896366,0.128796366,0.1272003762,-0.096396366,0.0121392327,0.0302843425,0.0127087786,0.003,-0.16,0.0422077584,-0.0012,-0.00495381520000002,-0.00475381520000001,-0.00385381520000003,-0.00380066870000001,0.00345381520000002,-0.0053011439,0.0049808358,-0.0083663841,-0.0022,0.0246401351,0.0261401351,0.0251401351,-0.0226830795,0.0056385429,"0"
"15",0.98,0.97,0.5547454126,0.0148,0.1516363558,0.1735363558,0.1394363558,0.1138858911,-0.1064363558,0.0006606971,-0.0048442217,0.0282030678,0.002,-0.16,0.1091622013,-0.0029,0.0110399898,0.0206399898,0.0106399898,-0.0133144851,-0.0100399898,-0.0114785356,-0.0351285642,0.0154942892,-0.0155,0.0123140401,0.0119140401,0.0101140401,0.0539526565,0.0173745941,"1"
"16",0.94,0.88,0.529125087,0.0138,0.1468565023,0.1673565023,0.1361565023,0.0739691724,-0.1029565023,0.0066586404,0.0368940776,0.0122776897,-0.04,-0.09,-0.0256203255999999,-0.001,-0.00477985349999999,-0.0061798535,-0.00327985349999999,-0.0399167187,0.00347985349999999,0.0059979433,0.0417382993,-0.0159253781,-0.000800000000000002,0.0256341223,0.0239341223,0.0256341223,-0.0377578568,0.0023316385,"0"
"17",0.9,0.79,0.6072712745,0.0055,0.1546398681,0.1846398681,0.1429398681,0.0637461202,-0.1110398681,0.0236339899,0.0254947669,0.0369529107,-0.0399999999999999,-0.09,0.0781461874999999,-0.0083,0.00778336579999997,0.0172833658,0.00678336579999997,-0.0102230522,-0.00808336579999996,0.0169753495,-0.0113993107,0.024675221,-0.0106,-0.00578224529999996,-0.00478224529999996,-0.00598224529999997,0.0019547569,-0.0018203395,"0"
"18",0.86,0.7,0.9440016561,0.0045,0.1522612611,0.1874612611,0.1420612611,0.0303524609,-0.1067612611,-0.0310205984,0.0049972713,0.0350402908,-0.04,-0.0900000000000001,0.3367303816,-0.001,-0.00237860699999998,0.00282139300000003,-0.000878606999999976,-0.0333936593,0.00427860699999996,-0.0546545883,-0.0204974956,-0.0019126199,-0.0012,-0.00495381520000002,-0.00475381520000001,-0.00385381520000003,-0.0053011439,0.0049808358,"0"
"19",0.82,0.61,1.1707317073,0.0241,0.1570333096,0.2080333096,0.1445333096,-0.0129441955,-0.1038333096,-0.0517205398,-0.0815548316,0.0751318488,-0.04,-0.09,0.2267300512,0.0196,0.00477204850000004,0.0205720485000001,0.00247204850000005,-0.0432966564,0.00292795149999997,-0.0206999414,-0.0865521029,0.040091558,-0.0029,0.0110399898,0.0206399898,0.0106399898,-0.0114785356,-0.0351285642,"0"
"20",0.74,0.56,1.1858624454,0.0225,0.1171253731,0.1556253731,0.1043253731,-0.0084155117,-0.0673253731,0.0429597072,0.0056957659,0.0575009572,-0.08,-0.0499999999999999,0.0151307380999999,-0.0016,-0.0399079365,-0.0524079365,-0.0402079365,0.0045286838,0.0365079365,0.094680247,0.0872505975,-0.0176308916,-0.001,-0.00477985349999999,-0.0061798535,-0.00327985349999999,0.0059979433,0.0417382993,"0"
"21",0.66,0.51,2.0284780579,0.0034,0.067349412,0.123249412,0.047949412,-0.0406886277,-0.013249412,0.0472274991,-0.0079819405,0.0773377883,-0.08,-0.05,0.8426156125,-0.0191,-0.0497759611,-0.0323759611,-0.0563759611,-0.032273116,0.0540759611,0.0042677919,-0.0136777064,0.0198368311,-0.0083,0.00778336579999997,0.0172833658,0.00678336579999997,0.0169753495,-0.0113993107,"1"
"22",0.58,0.46,1.2143655674,3e-04,0.0378613523,0.0669613523,0.0227613523,0.0007049814,0.0091386477,0.0543903923,0.0796349131,0.1034284506,-0.0800000000000001,-0.05,-0.8141124905,-0.0031,-0.0294880597,-0.0562880597,-0.0251880597,0.0413936091,0.0223880597,0.0071628932,0.0876168536,0.0260906623,-0.001,-0.00237860699999998,0.00282139300000003,-0.000878606999999976,-0.0546545883,-0.0204974956,"0"
"23",0.5,0.41,1.4420843014,4e-04,-0.00898234420000004,0.0293176558,-0.0233823442,-0.005031571,0.0548823442,0.0146141387,0.0288591009,0.0691844605,-0.08,-0.05,0.227718734,1e-04,-0.0468436965,-0.0376436965,-0.0461436965,-0.0057365524,0.0457436965,-0.0397762536,-0.0507758122,-0.0342439901,0.0196,0.00477204850000004,0.0205720485000001,0.00247204850000005,-0.0206999414,-0.0865521029,"0"
"24",0.485,0.418,1.476534296,0.0134,-0.00766463330000001,0.0346353667,-0.0223646333,-0.021882756,0.0544646333,-0.0017922438,0.0042370242,0.0590376481,-0.015,0.00800000000000001,0.0344499946000001,0.013,0.00131771090000003,0.00531771090000004,0.00101771090000003,-0.016851185,-0.000417710900000035,-0.0164063825,-0.0246220767,-0.0101468124,-0.0016,-0.0399079365,-0.0524079365,-0.0402079365,0.094680247,0.0872505975,"1"
"25",0.47,0.425,0.8335031588,7e-04,0.0145800723,0.0406800723,0.000580072299999995,0.0007615701,0.0300199277,0.0321380552,0.0686674866,0.0609344208,-0.015,0.00700000000000001,-0.6430311372,-0.0127,0.0222447056,0.00604470560000001,0.0229447056,0.0226443261,-0.0244447056,0.033930299,0.0644304624,0.0018967727,-0.0191,-0.0497759611,-0.0323759611,-0.0563759611,0.0042677919,-0.0136777064,"0"
"26",0.455,0.433,0.8679966044,4e-04,0.0282859547,0.0573859547,0.0154859547,-0.0004583629,0.0153140453,0.0049987128,0.0241139604,0.0589969706,-0.015,0.00800000000000001,0.0344934456,-3e-04,0.0137058824,0.0167058824,0.0149058824,-0.001219933,-0.0147058824,-0.0271393424,-0.0445535262,-0.0019374502,-0.0031,-0.0294880597,-0.0562880597,-0.0251880597,0.0071628932,0.0876168536,"1"
"27",0.44,0.44,0.8290260464,0.0029,0.0148736526,0.0473736526,0.00347365260000002,0.0061958281,0.0301263474,-0.0348947422,0.0042636906,0.0428479163,-0.015,0.00700000000000001,-0.038970558,0.0025,-0.0134123021,-0.0100123021,-0.0120123021,0.006654191,0.0148123021,-0.039893455,-0.0198502698,-0.0161490543,1e-04,-0.0468436965,-0.0376436965,-0.0461436965,-0.0397762536,-0.0507758122,"1"
"28",0.443,0.453,0.8025122121,0.0024,0.0186924496,0.0399924496,0.00809244959999999,0.0096063281,0.0226075504,0.0543781309,0.0601358466,0.0185787192,0.003,0.013,-0.0265138343,-5e-04,0.00381879699999997,-0.00738120300000003,0.00461879699999997,0.0034105,-0.00751879699999997,0.0892728731,0.055872156,-0.0242691971,0.013,0.00131771090000003,0.00531771090000004,0.00101771090000003,-0.0164063825,-0.0246220767,"0"
